Marketing_Spend,Employees,Time,Sales
20795,45,346,71203.87242247182
5860,60,346,111732.64365513844
81820,59,180,150521.51804533735
59886,35,85,82284.91990097842
11265,26,106,36964.72245075987
87386,79,136,167172.03002210916
42194,52,322,104611.78860285477
92498,84,226,204559.64002245854
49131,8,204,71071.64392792669
65263,25,113,91492.44540236652
21023,45,18,88090.3105007432
46090,49,337,136053.33440878306
72221,93,143,175266.93083035995
69820,88,259,161849.4382484795
5769,12,341,51823.99562747592
64735,13,83,81414.25993356857
67955,22,315,97389.1021631761
69925,35,183,101285.97101478218
72969,39,122,117125.36886158332
10311,34,11,43172.27718130476
88104,22,181,111278.99009915975
58707,87,323,150434.2660984258
90305,45,220,125079.043354993
33693,28,137,77897.1232284673
76932,90,313,162517.0320610436
98016,52,166,153440.1651866362
30658,18,263,64639.71757776165
89478,23,34,89122.94712846908
23431,64,319,116929.31761528052
7747,97,265,134704.96757343222
64150,26,346,92828.20011821747
70725,34,200,103766.68713092669
89654,19,275,93427.27366703554
40773,25,174,80941.31915593684
72435,30,312,103456.13384428577
61886,16,266,65648.63669926659
71803,11,120,78969.49909856309
36551,79,171,145638.40266201293
16394,88,40,100938.58063249323
74092,39,183,119723.54663198194
8890,72,287,117670.45051288392
46606,6,47,41176.3465372166
85038,24,293,101992.95209127702
92313,51,185,153761.37469452442
15627,88,79,120857.80825672539
13792,16,185,51691.15020133164
78969,57,99,125019.08519859199
48001,21,157,61528.570441164484
81552,22,45,106196.50534586965
28897,28,87,60188.219660659495
73148,76,329,171234.90914685684
28483,41,2,61499.25646411011
53555,34,146,97638.86885303697
22159,88,247,132235.7125554202
85077,56,157,139233.99016572864
40920,27,296,64546.46296596658
97067,41,3,135931.52630419197
72121,78,225,152831.20741170092
74479,28,314,99110.58078095628
94475,84,327,193106.30730080715
24457,54,350,106860.52110427507
71557,96,219,196618.46780534307
82189,80,166,174042.68194707227
83953,24,157,99395.29818591531
57995,51,159,96505.42809796485
45757,22,126,55012.04336701498
14692,30,193,57790.02353453615
50758,75,361,148167.89548902394
77409,47,299,136163.21002296545
76211,51,155,148766.47128698314
70697,89,155,168229.1144608332
42065,47,118,77336.2741346863
